Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Peso
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;08/09/2021;1;140
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;08/09/2021;1;40
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;08/09/2021;1;180
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;08/09/2021;1;160
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;08/09/2021;1;250
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;08/09/2021;1;160
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;08/09/2021;1;220
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;08/09/2021;1;140
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;08/09/2021;1;140
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;08/09/2021;1;80
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;08/09/2021;1;60
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;08/09/2021;1;110
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;12/10/2021;2;40
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;12/10/2021;2;100
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;12/10/2021;2;150
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;12/10/2021;2;90
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;12/10/2021;2;90
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;12/10/2021;2;180
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;12/10/2021;2;150
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;12/10/2021;2;160
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;12/10/2021;2;90
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;12/10/2021;2;40
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;12/10/2021;2;110
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;12/10/2021;2;80
