Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto; Peso 
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;26/10/2020;1; 100,83 
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;26/10/2020;1; 77,92 
1;2;301;AGUA BRANCA;1;Marshall;B1;15;26/10/2020;1; 94,58 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;26/10/2020;1; 100,14 
1;2;301;AGUA BRANCA;1;Marshall;B2;17;26/10/2020;1; 93,19 
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;26/10/2020;1; 114,72 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;26/10/2020;1; 108,47 
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;26/10/2020;1; 102,92 
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;26/10/2020;1; 155,00 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;26/10/2020;1; 122,36 
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;26/10/2020;1; 64,72 
1;2;301;AGUA BRANCA;1;Marshall;B3;24;26/10/2020;1; 104,31 
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;22/12/2020;2; 121,67 
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;22/12/2020;2; 107,86 
1;2;301;AGUA BRANCA;1;Marshall;B1;15;22/12/2020;2; 75,83 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;22/12/2020;2; 68,72 
1;2;301;AGUA BRANCA;1;Marshall;B2;17;22/12/2020;2; 108,47 
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;22/12/2020;2; 83,47 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;22/12/2020;2; 64,72 
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;22/12/2020;2; 68,72 
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;22/12/2020;2; 75,83 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;22/12/2020;2; 77,92 
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;22/12/2020;2; 83,47 
1;2;301;AGUA BRANCA;1;Marshall;B3;24;22/12/2020;2; 93,19 
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;24/05/2021;3; 94,58 
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;24/05/2021;3; 100,14 
1;2;301;AGUA BRANCA;1;Marshall;B1;15;24/05/2021;3; 100,83 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;24/05/2021;3; 102,92 
1;2;301;AGUA BRANCA;1;Marshall;B2;17;24/05/2021;3; 104,31 
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;24/05/2021;3; 107,86 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;24/05/2021;3; 108,47 
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;24/05/2021;3; 108,47 
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;24/05/2021;3; 114,72 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;24/05/2021;3; 121,67 
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;24/05/2021;3; 122,36 
1;2;301;AGUA BRANCA;1;Marshall;B3;24;24/05/2021;3; 155,00 
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;23/07/2021;3; 171,88 
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;23/07/2021;4; 136,79 
1;2;301;AGUA BRANCA;1;Marshall;B1;15;23/07/2021;4; 136,04 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;23/07/2021;4; 128,58 
1;2;301;AGUA BRANCA;1;Marshall;B2;17;23/07/2021;4; 121,86 
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;23/07/2021;4; 121,86 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;23/07/2021;4; 121,20 
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;23/07/2021;4; 117,38 
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;23/07/2021;4; 115,89 
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;23/07/2021;4; 113,65 
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;23/07/2021;4; 112,90 
1;2;301;AGUA BRANCA;1;Marshall;B3;24;23/07/2021;4; 106,93 
