Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Gleba;Croqui;Data (dd/mm/yyyy);Ponto;Diametro
1;21;1;Piravevê Adélio;3.6;Controle;B1;183;03/11/2022;1;23
1;21;1;Piravevê Adélio;3.6;Controle;B2;184;03/11/2022;2;26
1;21;1;Piravevê Adélio;3.6;Controle;B3;185;03/11/2022;3;23
1;21;1;Piravevê Adélio;3.6;Controle;B4;186;03/11/2022;4;25
1;21;1;Piravevê Adélio;3.6;Controle;B5;187;03/11/2022;5;23
1;21;1;Piravevê Adélio;3.6;Controle;B6;188;03/11/2022;6;23
1;21;1;Piravevê Adélio;3.6;Controle;B7;189;03/11/2022;7;23
1;21;1;Piravevê Adélio;3.6;Controle;B8;190;03/11/2022;8;20
1;21;1;Piravevê Adélio;3.6;Controle;B9;191;03/11/2022;9;20
1;21;1;Piravevê Adélio;3.6;Controle;B10;192;03/11/2022;10;24
