Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Gleba;Croqui;Data (dd/mm/yyyy);Ponto;Altura
1;21;1;Piravevê Adélio;3.6;Controle;B1;183;03/11/2022;1;2,45
1;21;1;Piravevê Adélio;3.6;Controle;B2;184;03/11/2022;2;2,28
1;21;1;Piravevê Adélio;3.6;Controle;B3;185;03/11/2022;3;2,46
1;21;1;Piravevê Adélio;3.6;Controle;B4;186;03/11/2022;4;2,59
1;21;1;Piravevê Adélio;3.6;Controle;B5;187;03/11/2022;5;2,22
1;21;1;Piravevê Adélio;3.6;Controle;B6;188;03/11/2022;6;2,15
1;21;1;Piravevê Adélio;3.6;Controle;B7;189;03/11/2022;7;2,4
1;21;1;Piravevê Adélio;3.6;Controle;B8;190;03/11/2022;8;2,26
1;21;1;Piravevê Adélio;3.6;Controle;B9;191;03/11/2022;9;2,43
1;21;1;Piravevê Adélio;3.6;Controle;B10;192;03/11/2022;10;2,34
