Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data;Ponto; Brix (%) ; LAI (%) ; PBU (g) 
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;04/06/2021;1;18,53;64,76;143,35
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;04/06/2021;1;22,7;82,97;158,07
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;04/06/2021;1;20,02;72,03;139,2
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;04/06/2021;1;18,76;66,19;144,38
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;04/06/2021;1;23,32;88,15;165,11
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;04/06/2021;1;20,17;71,02;147,37
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;04/06/2021;1;17,53;60,2;151,65
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;04/06/2021;1;21,08;76,25;136,41
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;04/06/2021;1;20,17;71,99;140,77
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;04/06/2021;1;16,87;56,92;138,75
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;04/06/2021;1;22,06;81,8;156,37
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;04/06/2021;1;19,3;69,13;133,14
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;04/06/2021;1;16,06;53,77;148,73
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;04/06/2021;1;20,98;77,27;153,01
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;04/06/2021;1;18,45;64,93;148,42
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;04/06/2021;1;16,18;55,79;148,53
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;04/06/2021;1;21,68;80,27;151,83
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;04/06/2021;1;19,69;71,88;133,38
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;04/06/2021;1;17,2;58,14;125,48
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;04/06/2021;1;20,68;78,11;142,68
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;04/06/2021;1;19,18;68,95;124,83
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;04/06/2021;1;17,56;60,56;150,18
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;04/06/2021;1;22,44;85,24;149,38
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;04/06/2021;1;19,83;73,35;128,08
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;04/06/2021;1;18,37;64,22;137,2
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;04/06/2021;1;19,49;68,25;141,37
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;04/06/2021;1;18,68;67,33;124,83
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;04/06/2021;1;15,92;48,21;153,52
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;04/06/2021;1;21,22;77,87;159,24
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;04/06/2021;1;18,45;64,05;143,26
