Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Danos
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;05/06/2021;1;5
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;05/06/2021;1;3
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;05/06/2021;1;8
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;05/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;05/06/2021;1;2
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;05/06/2021;1;6
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;05/06/2021;1;7
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;05/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;05/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;05/06/2021;1;4
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;05/06/2021;1;2
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;05/06/2021;1;5
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;05/06/2021;1;3
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;05/06/2021;1;3
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;05/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;05/06/2021;1;2
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;05/06/2021;1;2
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;05/06/2021;1;8
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;05/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;05/06/2021;1;4
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;05/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;05/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;05/06/2021;1;0
