Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Diâmetro
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;17/04/2021;1;1,9
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;17/04/2021;1;2,8
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;17/04/2021;1;2,4
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;17/04/2021;1;3
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;17/04/2021;1;2,4
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;17/04/2021;1;2,3
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;17/04/2021;1;2,3
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;17/04/2021;1;2,4
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;17/04/2021;1;2,9
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;17/04/2021;1;3,4
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;17/04/2021;1;2,3
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;17/04/2021;1;2,6
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;17/04/2021;1;2,6
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;17/04/2021;1;2,8
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;17/04/2021;1;2,9
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;17/04/2021;1;2,4
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;17/04/2021;1;2,4
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;17/04/2021;1;2,6
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;17/04/2021;1;3,5
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;17/04/2021;1;2,7
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;17/04/2021;1;2,2
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;17/04/2021;1;2,9
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;17/04/2021;1;2,3
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;17/04/2021;1;2,8
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;17/04/2021;1;2,8
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;17/04/2021;1;2,6
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;17/04/2021;1;2,5
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;17/04/2021;1;2,2
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;17/04/2021;1;2,5
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;17/04/2021;1;2,6
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;17/04/2021;1;1,8
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;17/04/2021;1;2,5
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;17/04/2021;1;2,8
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;17/04/2021;1;3
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;17/04/2021;1;2,7
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;17/04/2021;1;2,4
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;17/04/2021;1;2,7
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;17/04/2021;1;3,5
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;17/04/2021;1;2,2
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;17/04/2021;1;2,9
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;17/04/2021;1;3
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;17/04/2021;1;1,8
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;17/04/2021;1;2,6
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;17/04/2021;1;2,9
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;17/04/2021;1;2,2
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;17/04/2021;1;2,6
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;17/04/2021;1;2,2
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;17/04/2021;1;2,8
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;17/04/2021;2;1,9
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;17/04/2021;2;3,4
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;17/04/2021;2;2,6
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;17/04/2021;2;2,9
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;17/04/2021;2;2,9
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;17/04/2021;2;2,4
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;17/04/2021;2;2,4
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;17/04/2021;2;2,2
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;17/04/2021;2;2,8
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;17/04/2021;2;3
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;17/04/2021;2;2,5
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;17/04/2021;2;2,7
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;17/04/2021;2;2,7
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;17/04/2021;2;2,3
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;17/04/2021;2;2,9
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;17/04/2021;2;2,3
