Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Infestacao
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;06/06/2021;1;5
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;06/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;06/06/2021;1;1
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;06/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;06/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;06/06/2021;1;4
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;06/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;06/06/2021;1;2
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;06/06/2021;1;6
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;06/06/2021;1;4
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;06/06/2021;1;6
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;06/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;06/06/2021;1;2
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;06/06/2021;1;1
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;06/06/2021;1;3
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;06/06/2021;1;6
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;06/06/2021;1;8
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;06/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;06/06/2021;1;0
