Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Isoporos
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;04/06/2021;1;10
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;04/06/2021;1;10
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;04/06/2021;1;10
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;04/06/2021;1;4
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;04/06/2021;1;2
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;04/06/2021;1;10
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;04/06/2021;1;0
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;04/06/2021;1;5
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;04/06/2021;1;6
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;04/06/2021;1;5
