Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy); Ponto ;Colmos
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;11/04/2021; 1 ;140
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;11/04/2021; 1 ;82
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;11/04/2021; 1 ;127
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;11/04/2021; 1 ;154
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;11/04/2021; 1 ;160
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;11/04/2021; 1 ;65
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;11/04/2021; 1 ;104
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;11/04/2021; 1 ;119
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;11/04/2021; 1 ;97
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;11/04/2021; 1 ;70
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;11/04/2021; 1 ;118
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;11/04/2021; 1 ;116
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;11/04/2021; 1 ;166
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;11/04/2021; 1 ;155
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;11/04/2021; 1 ;154
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;11/04/2021; 1 ;98
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;11/04/2021; 1 ;123
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;11/04/2021; 1 ;112
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;11/04/2021; 1 ;50
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;11/04/2021; 1 ;116
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;11/04/2021; 1 ;125
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;11/04/2021; 1 ;106
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;11/04/2021; 1 ;124
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;11/04/2021; 1 ;60
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;11/04/2021; 1 ;114
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;11/04/2021; 1 ;84
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;11/04/2021; 1 ;134
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;11/04/2021; 1 ;152
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;11/04/2021; 1 ;125
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;11/04/2021; 1 ;89
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;11/04/2021; 1 ;112
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;11/04/2021; 1 ;76
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;11/04/2021; 1 ;130
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;11/04/2021; 1 ;87
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;11/04/2021; 1 ;104
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;11/04/2021; 1 ;124
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;11/04/2021; 1 ;135
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;11/04/2021; 1 ;70
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;11/04/2021; 1 ;107
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;11/04/2021; 1 ;98
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;11/04/2021; 1 ;97
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;11/04/2021; 1 ;134
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;11/04/2021; 1 ;114
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;11/04/2021; 1 ;101
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;11/04/2021; 1 ;153
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;11/04/2021; 1 ;107
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;11/04/2021; 1 ;92
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;11/04/2021; 1 ;105
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;12/04/2021; 2 ;131
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;12/04/2021; 2 ;102
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;12/04/2021; 2 ;154
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;12/04/2021; 2 ;118
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;12/04/2021; 2 ;132
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;12/04/2021; 2 ;126
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;12/04/2021; 2 ;110
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;12/04/2021; 2 ;98
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;12/04/2021; 2 ;111
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;12/04/2021; 2 ;59
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;12/04/2021; 2 ;97
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;12/04/2021; 2 ;163
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;12/04/2021; 2 ;109
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;12/04/2021; 2 ;94
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;12/04/2021; 2 ;95
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;12/04/2021; 2 ;99
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;12/04/2021; 2 ;93
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;12/04/2021; 2 ;111
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;12/04/2021; 2 ;70
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;12/04/2021; 2 ;104
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;12/04/2021; 2 ;128
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;12/04/2021; 2 ;98
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;12/04/2021; 2 ;92
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;12/04/2021; 2 ;96
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;12/04/2021; 2 ;105
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;12/04/2021; 2 ;76
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;12/04/2021; 2 ;110
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;12/04/2021; 2 ;148
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;12/04/2021; 2 ;119
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;12/04/2021; 2 ;147
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;12/04/2021; 2 ;179
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;12/04/2021; 2 ;94
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;12/04/2021; 2 ;125
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;12/04/2021; 2 ;101
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;12/04/2021; 2 ;115
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;12/04/2021; 2 ;98
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;12/04/2021; 2 ;128
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;12/04/2021; 2 ;64
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;12/04/2021; 2 ;114
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;12/04/2021; 2 ;96
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;12/04/2021; 2 ;86
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;12/04/2021; 2 ;131
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;12/04/2021; 2 ;95
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;12/04/2021; 2 ;118
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;12/04/2021; 2 ;178
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;12/04/2021; 2 ;93
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;12/04/2021; 2 ;62
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;12/04/2021; 2 ;129
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;13/04/2021; 3 ;127
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;13/04/2021; 3 ;104
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;13/04/2021; 3 ;165
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;13/04/2021; 3 ;125
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;13/04/2021; 3 ;175
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;13/04/2021; 3 ;78
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;13/04/2021; 3 ;92
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;13/04/2021; 3 ;65
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;13/04/2021; 3 ;146
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;13/04/2021; 3 ;152
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;13/04/2021; 3 ;187
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;13/04/2021; 3 ;200
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;13/04/2021; 3 ;103
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;13/04/2021; 3 ;82
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;13/04/2021; 3 ;142
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;13/04/2021; 3 ;108
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;13/04/2021; 3 ;65
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;13/04/2021; 3 ;125
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;13/04/2021; 3 ;113
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;13/04/2021; 3 ;103
