Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Perfilhos;Falhas
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;07/06/2021;1;154;2,96
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;07/06/2021;1;127;3,21
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;07/06/2021;2;112;4,35
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;07/06/2021;2;111;4,74
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;07/06/2021;3;158;1,48
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;07/06/2021;3;101;4,72
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;07/06/2021;1;108;3,12
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;07/06/2021;1;114;3,64
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;07/06/2021;2;120;3,25
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;07/06/2021;2;149;1,29
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;07/06/2021;3;140;1,28
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;07/06/2021;3;134;2,91
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;07/06/2021;1;168;1,89
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;07/06/2021;1;159;1,30
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;07/06/2021;2;129;2,67
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;07/06/2021;2;143;1,38
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;07/06/2021;3;182;1,35
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;07/06/2021;3;113;3,47
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;07/06/2021;1;176;1,09
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;07/06/2021;1;96;4,86
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;07/06/2021;2;146;1,32
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;07/06/2021;2;117;4,53
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;07/06/2021;3;129;0,52
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;07/06/2021;3;108;2,18
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;07/06/2021;1;124;5,02
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;07/06/2021;1;155;1,25
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;07/06/2021;2;174;1,67
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;07/06/2021;2;194;2,19
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;07/06/2021;3;133;2,55
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;07/06/2021;3;135;2,91
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;07/06/2021;1;115;2,86
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;07/06/2021;1;127;3,81
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;07/06/2021;2;121;3,97
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;07/06/2021;2;141;2,19
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;07/06/2021;3;155;1,41
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;07/06/2021;3;101;4,28
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;07/06/2021;1;133;2,08
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;07/06/2021;1;163;1,23
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;07/06/2021;2;132;4,18
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;07/06/2021;2;147;2,02
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;07/06/2021;3;125;0,65
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;07/06/2021;3;148;1,14
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;07/06/2021;1;122;3,44
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;07/06/2021;1;123;2,00
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;07/06/2021;2;120;3,13
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;07/06/2021;2;105;3,61
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;07/06/2021;3;94;5,65
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;07/06/2021;3;126;2,48
;;;;;;;;;1;138;2,54
;;;;;;;;;1;133;1,65
;;;;;;;;;2;160;0,50
;;;;;;;;;2;138;3,21
;;;;;;;;;3;141;2,51
;;;;;;;;;3;83;4,58
;;;;;;;;;1;142;1,76
;;;;;;;;;1;116;1,24
;;;;;;;;;2;118;2,35
;;;;;;;;;2;158;0,67
;;;;;;;;;3;112;1,63
;;;;;;;;;3;100;2,09
