Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Peso;
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;03/03/2021;1;124,2;108,4
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;03/03/2021;1;24,2;8,4
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;03/03/2021;1;164,2;148,4
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;03/03/2021;1;144,2;128,4
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;03/03/2021;1;234,2;218,4
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;03/03/2021;1;144,2;128,4
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;03/03/2021;1;204,2;188,4
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;03/03/2021;1;124,2;108,4
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;03/03/2021;1;124,2;108,4
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;03/03/2021;1;64,2;48,4
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;03/03/2021;1;44,2;28,4
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;03/03/2021;1;94,2;78,4
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;03/03/2021;1;24,2;8,4
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;03/03/2021;1;84,2;68,4
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;03/03/2021;1;134,2;118,4
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;03/03/2021;1;74,2;58,4
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;03/03/2021;1;74,2;58,4
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;03/03/2021;1;164,2;148,4
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;03/03/2021;1;134,2;118,4
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;03/03/2021;1;144,2;128,4
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;03/03/2021;1;74,2;58,4
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;03/03/2021;1;24,2;8,4
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;03/03/2021;1;94,2;78,4
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;03/03/2021;1;64,2;48,4
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;03/03/2021;1;184,2;168,4
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;03/03/2021;1;174,2;158,4
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;03/03/2021;1;154,2;138,4
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;03/03/2021;1;44,2;28,4
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;03/03/2021;1;84,2;68,4
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;03/03/2021;1;94,2;78,4
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;03/03/2021;1;144,2;128,4
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;03/03/2021;1;134,2;118,4
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;03/03/2021;1;164,2;148,4
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;03/03/2021;1;64,2;48,4
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;03/03/2021;1;134,2;118,4
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;03/03/2021;1;134,2;118,4
