Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Colmos
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;18/09/2021;1;182
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;18/09/2021;1;193
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;18/09/2021;1;210
1;27;981;AGENOR;10;Expert Grow;B1;364;18/09/2021;1;185
1;27;981;AGENOR;10;Expert Grow;B2;365;18/09/2021;1;211
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;18/09/2021;1;137
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;18/09/2021;1;183
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;18/09/2021;1;192
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;18/09/2021;1;191
1;27;981;AGENOR;10;Expert Grow;B3;370;18/09/2021;1;155
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;18/09/2021;1;216
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;18/09/2021;1;198
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;18/09/2021;1;142
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;18/09/2021;1;112
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;18/09/2021;1;118
1;27;981;AGENOR;10;Expert Grow;B4;376;18/09/2021;1;151
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;02/10/2021;2;125
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;02/10/2021;2;116
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;02/10/2021;2;136
1;27;981;AGENOR;10;Expert Grow;B1;364;02/10/2021;2;120
1;27;981;AGENOR;10;Expert Grow;B2;365;02/10/2021;2;121
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;02/10/2021;2;127
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;02/10/2021;2;143
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;02/10/2021;2;112
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;02/10/2021;2;159
1;27;981;AGENOR;10;Expert Grow;B3;370;02/10/2021;2;187
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;02/10/2021;2;168
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;02/10/2021;2;201
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;02/10/2021;2;175
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;02/10/2021;2;137
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;02/10/2021;2;133
1;27;981;AGENOR;10;Expert Grow;B4;376;02/10/2021;2;142
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;19/10/2021;3;167
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;19/10/2021;3;133
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;19/10/2021;3;194
1;27;981;AGENOR;10;Expert Grow;B1;364;19/10/2021;3;145
1;27;981;AGENOR;10;Expert Grow;B2;365;19/10/2021;3;139
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;19/10/2021;3;113
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;19/10/2021;3;140
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;19/10/2021;3;119
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;19/10/2021;3;138
1;27;981;AGENOR;10;Expert Grow;B3;370;19/10/2021;3;143
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;19/10/2021;3;150
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;19/10/2021;3;141
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;19/10/2021;3;117
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;19/10/2021;3;111
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;19/10/2021;3;142
1;27;981;AGENOR;10;Expert Grow;B4;376;19/10/2021;3;125
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;31/10/2021;4;175
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;31/10/2021;4;146
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;31/10/2021;4;151
1;27;981;AGENOR;10;Expert Grow;B1;364;31/10/2021;4;151
1;27;981;AGENOR;10;Expert Grow;B2;365;31/10/2021;4;126
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;31/10/2021;4;111
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;31/10/2021;4;150
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;31/10/2021;4;145
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;31/10/2021;4;162
1;27;981;AGENOR;10;Expert Grow;B3;370;31/10/2021;4;95
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;31/10/2021;4;142
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;31/10/2021;4;151
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;31/10/2021;4;176
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;31/10/2021;4;119
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;31/10/2021;4;154
1;27;981;AGENOR;10;Expert Grow;B4;376;31/10/2021;4;158
