Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Diametro
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;1;30
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;1;29
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;1;27
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;1;26
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;1;34
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;1;29
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;1;25
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;1;32
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;1;29
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;1;20
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;1;26
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;1;25
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;2;26
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;2;29
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;2;28
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;2;25
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;2;24
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;2;27
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;2;30
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;2;24
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;2;27
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;2;30
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;2;27
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;2;32
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;3;27
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;3;24
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;3;26
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;3;22
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;3;24
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;3;25
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;3;25
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;3;25
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;3;29
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;3;30
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;3;31
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;3;22
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;4;28
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;4;27
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;4;26
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;4;32
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;4;26
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;4;31
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;4;22
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;4;24
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;4;25
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;4;29
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;4;30
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;4;30
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;5;28
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;5;25
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;5;28
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;5;29
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;5;26
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;5;22
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;5;31
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;5;28
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;5;26
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;5;22
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;5;29
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;5;25
