Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Cod_Doenca_1;Cod_Doenca_2;Cod_Doenca_3;Cod_Doenca_4;Cod_Doenca_5
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;10/03/2020;1;23;;17;18;29
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;10/03/2020;1;17;24;;;
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;10/03/2020;1;27;23;30;;17
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;10/03/2020;1;30;18;;;
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;10/03/2020;1;24;29;18;;
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;10/03/2020;1;29;19;;30;
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;10/03/2020;1;19;;;;
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;10/03/2020;1;27;24;19;;
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;10/03/2020;1;16;18;;30;
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;10/03/2020;1;26;;;;
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;10/03/2020;1;18;26;27;;
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;10/03/2020;1;18;23;;;
