Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Composto;Nome;Sigla;Data (dd/mm/yyyy);Ponto;Valor
1;4;58;IPANEMA;1;Marshall;B1;37;4;Enxofre;S;10/05/2020;1;2,5
1;4;58;IPANEMA;1;Scudero Mult;B1;38;1;Nitrogênio;N;10/05/2020;1;3
1;4;58;IPANEMA;1;Scudero Mult;B1;38;11;Densidade (g/cm³);Dens;10/05/2020;1;0
1;4;58;IPANEMA;1;Expert Grow;B1;39;2;Óxido de Potássio;K2O;10/05/2020;1;5
1;4;58;IPANEMA;1;Expert Grow;B1;39;8;Manganês;Mn;10/05/2020;1;4
1;4;58;IPANEMA;1;Disperse Ultra;B1;40;6;Boro;B;10/05/2020;1;2
1;4;58;IPANEMA;1;Disperse Ultra;B1;40;8;Manganês;Mn;10/05/2020;1;15
1;4;58;IPANEMA;1;Sulfato de Zinco;B1;41;2;Óxido de Potássio;K2O;10/05/2020;1;1,5
1;4;58;IPANEMA;1;Sulfato de Zinco;B1;41;5;Zinco;Zn;10/05/2020;1;1
1;4;58;IPANEMA;1;ML - 4;B1;42;5;Zinco;Zn;10/05/2020;1;8
1;4;58;IPANEMA;1;ML - 4;B1;42;11;Densidade (g/cm³);Dens;10/05/2020;1;8,4
1;4;58;IPANEMA;1;Controle;B1;43;1;Nitrogênio;N;10/05/2020;1;5,9
1;4;58;IPANEMA;1;Controle;B1;43;8;Manganês;Mn;10/05/2020;1;2,1
1;4;58;IPANEMA;1;Scudero Mult;B2;45;1;Nitrogênio;N;10/05/2020;1;6
1;4;58;IPANEMA;1;Scudero Mult;B2;45;11;Densidade (g/cm³);Dens;10/05/2020;1;1
1;4;58;IPANEMA;1;Sulfato de Zinco;B2;46;2;Óxido de Potássio;K2O;10/05/2020;1;2
1;4;58;IPANEMA;1;Sulfato de Zinco;B2;46;5;Zinco;Zn;10/05/2020;1;2
1;4;58;IPANEMA;1;Marshall;B2;44;4;Enxofre;S;10/05/2020;1;2
1;4;58;IPANEMA;1;ML - 4;B2;50;5;Zinco;Zn;10/05/2020;1;3
1;4;58;IPANEMA;1;ML - 4;B2;50;11;Densidade (g/cm³);Dens;10/05/2020;1;5
1;4;58;IPANEMA;1;Expert Grow;B2;48;2;Óxido de Potássio;K2O;10/05/2020;1;7
1;4;58;IPANEMA;1;Expert Grow;B2;48;8;Manganês;Mn;10/05/2020;1;0,8
1;4;58;IPANEMA;1;Controle;B2;49;1;Nitrogênio;N;10/05/2020;1;0,8
1;4;58;IPANEMA;1;Controle;B2;49;8;Manganês;Mn;10/05/2020;1;0,4
1;4;58;IPANEMA;1;Disperse Ultra;B2;47;6;Boro;B;10/05/2020;1;7
1;4;58;IPANEMA;1;Disperse Ultra;B2;47;8;Manganês;Mn;10/05/2020;1;5
1;4;58;IPANEMA;1;Controle;B3;51;1;Nitrogênio;N;10/05/2020;1;1
1;4;58;IPANEMA;1;Controle;B3;51;8;Manganês;Mn;10/05/2020;1;1
1;4;58;IPANEMA;1;Disperse Ultra;B3;52;6;Boro;B;10/05/2020;1;2
1;4;58;IPANEMA;1;Disperse Ultra;B3;52;8;Manganês;Mn;10/05/2020;1;0,8
1;4;58;IPANEMA;1;Sulfato de Zinco;B3;53;2;Óxido de Potássio;K2O;10/05/2020;1;0,3
1;4;58;IPANEMA;1;Sulfato de Zinco;B3;53;5;Zinco;Zn;10/05/2020;1;1
1;4;58;IPANEMA;1;Expert Grow;B3;54;2;Óxido de Potássio;K2O;10/05/2020;1;1
1;4;58;IPANEMA;1;Expert Grow;B3;54;8;Manganês;Mn;10/05/2020;1;0,1
1;4;58;IPANEMA;1;Scudero Mult;B3;55;1;Nitrogênio;N;10/05/2020;1;10
1;4;58;IPANEMA;1;Scudero Mult;B3;55;11;Densidade (g/cm³);Dens;10/05/2020;1;15
1;4;58;IPANEMA;1;Marshall;B3;56;4;Enxofre;S;10/05/2020;1;12
1;4;58;IPANEMA;1;ML - 4;B3;57;5;Zinco;Zn;10/05/2020;1;11
1;4;58;IPANEMA;1;ML - 4;B3;57;11;Densidade (g/cm³);Dens;10/05/2020;1;0,5
