Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Peso
1;4;58;IPANEMA;1;Marshall;B1;37;30/10/2020;1;100,83
1;4;58;IPANEMA;1;Scudero Mult;B1;38;30/10/2020;1;77,92
1;4;58;IPANEMA;1;Expert Grow;B1;39;30/10/2020;1;94,58
1;4;58;IPANEMA;1;Disperse Ultra;B1;40;30/10/2020;1;100,14
1;4;58;IPANEMA;1;Sulfato de Zinco;B1;41;30/10/2020;1;93,19
1;4;58;IPANEMA;1;ML - 4;B1;42;30/10/2020;1;114,72
1;4;58;IPANEMA;1;Controle;B1;43;30/10/2020;1;108,47
1;4;58;IPANEMA;1;Scudero Mult;B2;45;30/10/2020;1;102,92
1;4;58;IPANEMA;1;Sulfato de Zinco;B2;46;30/10/2020;1;155
1;4;58;IPANEMA;1;Marshall;B2;44;30/10/2020;1;122,36
1;4;58;IPANEMA;1;ML - 4;B2;50;30/10/2020;1;64,72
1;4;58;IPANEMA;1;Expert Grow;B2;48;30/10/2020;1;104,31
1;4;58;IPANEMA;1;Controle;B2;49;30/10/2020;1;121,67
1;4;58;IPANEMA;1;Disperse Ultra;B2;47;30/10/2020;1;107,86
1;4;58;IPANEMA;1;Controle;B3;51;30/10/2020;1;75,83
1;4;58;IPANEMA;1;Disperse Ultra;B3;52;30/10/2020;1;68,72
1;4;58;IPANEMA;1;Sulfato de Zinco;B3;53;30/10/2020;1;108,47
1;4;58;IPANEMA;1;Expert Grow;B3;54;30/10/2020;1;83,47
1;4;58;IPANEMA;1;Scudero Mult;B3;55;30/10/2020;1;64,72
1;4;58;IPANEMA;1;Marshall;B3;56;30/10/2020;1;68,72
1;4;58;IPANEMA;1;ML - 4;B3;57;30/10/2020;1;75,83
1;4;58;IPANEMA;1;Marshall;B1;37;30/10/2020;2;77,92
1;4;58;IPANEMA;1;Scudero Mult;B1;38;30/10/2020;2;83,47
1;4;58;IPANEMA;1;Expert Grow;B1;39;30/10/2020;2;93,19
1;4;58;IPANEMA;1;Disperse Ultra;B1;40;30/10/2020;2;94,58
1;4;58;IPANEMA;1;Sulfato de Zinco;B1;41;30/10/2020;2;100,14
1;4;58;IPANEMA;1;ML - 4;B1;42;30/10/2020;2;100,83
1;4;58;IPANEMA;1;Controle;B1;43;30/10/2020;2;102,92
1;4;58;IPANEMA;1;Scudero Mult;B2;45;30/10/2020;2;104,31
1;4;58;IPANEMA;1;Sulfato de Zinco;B2;46;30/10/2020;2;107,86
1;4;58;IPANEMA;1;Marshall;B2;44;30/10/2020;2;108,47
1;4;58;IPANEMA;1;ML - 4;B2;50;30/10/2020;2;108,47
1;4;58;IPANEMA;1;Expert Grow;B2;48;30/10/2020;2;114,72
1;4;58;IPANEMA;1;Controle;B2;49;30/10/2020;2;121,67
1;4;58;IPANEMA;1;Disperse Ultra;B2;47;30/10/2020;2;122,36
1;4;58;IPANEMA;1;Controle;B3;51;30/10/2020;2;155
1;4;58;IPANEMA;1;Disperse Ultra;B3;52;30/10/2020;2;171,88
1;4;58;IPANEMA;1;Sulfato de Zinco;B3;53;30/10/2020;2;136,79
1;4;58;IPANEMA;1;Expert Grow;B3;54;30/10/2020;2;136,04
1;4;58;IPANEMA;1;Scudero Mult;B3;55;30/10/2020;2;128,58
1;4;58;IPANEMA;1;Marshall;B3;56;30/10/2020;2;121,86
1;4;58;IPANEMA;1;ML - 4;B3;57;30/10/2020;2;121,86
