Licenca;ID_Variedade;Nome_Variedade;ID_Maturacao;Descricao_Maturacao
3;59;RB86 7515;5;Média
3;60;RB92 579;5;Média
3;61;RB96 6928;4;Precoce
3;62;RB97 5242;6;Tardia
3;63;RB85 5156;4;Precoce
3;64;CTC 9007;4;Precoce
3;65;CTC 9003;4;Precoce
3;66;CTC 9001;4;Precoce
3;67;CTC 9;4;Precoce
3;68;CTC 7;4;Precoce
3;69;CTC 9006;5;Média
3;70;CTC 9004;5;Média
3;71;CTC 9001 BT;4;Precoce
3;72;CTC 9002;5;Média
3;73;CTC 20;5;Média
3;74;CTC 4;5;Média
3;75;CTC 7515 BT;5;Média
3;76;CTC 6;6;Tardia
3;78;Vertix 1;0;
3;79;Vertix 2;0;
3;80;IACSP04 6007;6;Tardia
3;81;IAC SP01 5503;0;
3;82;CV 7870;0;
3;83;RB98 6958;0;
3;84;CTC 9005;0;
3;85;RB97 5033;0;
3;87;Diversas;0;
3;88;RB01 5177;4;Precoce
3;89;RB85 5536;5;Média
3;90;Não Identificada;11;Não Identificada
3;91;NA 3-559 ;11;Não Identificada
3;92;NA 7-493;11;Não Identificada
3;93;NA 12-166;11;Não Identificada
3;94;NA 12-1621;11;Não Identificada
3;95;NA 12-1624;11;Não Identificada
3;96;QA13-1162;11;Não Identificada
3;97;QS13-1279;11;Não Identificada
3;98;QS10-8397;11;Não Identificada
3;99;QS09-7559;11;Não Identificada
3;100;QC12-174;11;Não Identificada
3;101;11T1227;11;Não Identificada
3;102;13F0697;11;Não Identificada
3;103;CG11-07934;11;Não Identificada
3;104;CG11-079162;11;Não Identificada
3;105;CG12-116;11;Não Identificada
3;106;CG12-123;11;Não Identificada
3;107;CG12-130;11;Não Identificada
3;108;RB97 5201;11;Não Identificada
