Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Gleba;Croqui;Data (dd/mm/yyyy);Ponto;Colmos
3;17;402;Experimental;44;Relicta 300;B1;159;27/04/2022;1;12,7
3;17;402;Experimental;44;Relicta 300;B1;159;27/04/2022;2;12,5
3;17;402;Experimental;44;Relicta 300;B1;159;27/04/2022;3;13
3;17;402;Experimental;44;Relicta 300;B1;159;27/04/2022;4;9,7
3;17;402;Experimental;44;Relicta 120;B1;160;27/04/2022;1;12,9
3;17;402;Experimental;44;Relicta 120;B1;160;27/04/2022;2;11,4
3;17;402;Experimental;44;Relicta 120;B1;160;27/04/2022;3;10,2
3;17;402;Experimental;44;Relicta 120;B1;160;27/04/2022;4;12,5
3;17;402;Experimental;44;Testemunha;B1;164;27/04/2022;1;10,1
3;17;402;Experimental;44;Testemunha;B1;164;27/04/2022;2;14,7
3;17;402;Experimental;44;Testemunha;B1;164;27/04/2022;3;10,9
3;17;402;Experimental;44;Testemunha;B1;164;27/04/2022;4;9,4
3;17;402;Experimental;44;Moddus + Curavial;B1;161;27/04/2022;1;12,5
3;17;402;Experimental;44;Moddus + Curavial;B1;161;27/04/2022;2;11,9
3;17;402;Experimental;44;Moddus + Curavial;B1;161;27/04/2022;3;11,1
3;17;402;Experimental;44;Moddus + Curavial;B1;161;27/04/2022;4;10,6
3;17;402;Experimental;44;Relicta 200;B1;162;27/04/2022;1;15,3
3;17;402;Experimental;44;Relicta 200;B1;162;27/04/2022;2;12,2
3;17;402;Experimental;44;Relicta 200;B1;162;27/04/2022;3;12,2
3;17;402;Experimental;44;Relicta 200;B1;162;27/04/2022;4;11,3
3;17;402;Experimental;44;Relicta 160;B1;163;27/04/2022;1;17,1
3;17;402;Experimental;44;Relicta 160;B1;163;27/04/2022;2;14,7
3;17;402;Experimental;44;Relicta 160;B1;163;27/04/2022;3;11,7
3;17;402;Experimental;44;Relicta 160;B1;163;27/04/2022;4;12,8
3;17;402;Experimental;44;Curavial 20;B1;165;27/04/2022;1;11,2
3;17;402;Experimental;44;Curavial 20;B1;165;27/04/2022;2;11,3
3;17;402;Experimental;44;Curavial 20;B1;165;27/04/2022;3;8,9
3;17;402;Experimental;44;Curavial 20;B1;165;27/04/2022;4;11,6
3;17;402;Experimental;44;Effectus;B1;166;27/04/2022;1;12,8
3;17;402;Experimental;44;Effectus;B1;166;27/04/2022;2;12,4
3;17;402;Experimental;44;Effectus;B1;166;27/04/2022;3;12,8
3;17;402;Experimental;44;Effectus;B1;166;27/04/2022;4;12
3;17;402;Experimental;44;Curavial 23;B1;167;27/04/2022;1;11
3;17;402;Experimental;44;Curavial 23;B1;167;27/04/2022;2;12,5
3;17;402;Experimental;44;Curavial 23;B1;167;27/04/2022;3;11
3;17;402;Experimental;44;Curavial 23;B1;167;27/04/2022;4;12,4
3;17;402;Experimental;44;Suiker + Curavial;B1;168;27/04/2022;1;10,2
3;17;402;Experimental;44;Suiker + Curavial;B1;168;27/04/2022;2;13,3
3;17;402;Experimental;44;Suiker + Curavial;B1;168;27/04/2022;3;11,2
3;17;402;Experimental;44;Suiker + Curavial;B1;168;27/04/2022;4;12,5
3;17;402;Experimental;44;Moddus;B1;169;27/04/2022;1;12,7
3;17;402;Experimental;44;Moddus;B1;169;27/04/2022;2;12,8
3;17;402;Experimental;44;Moddus;B1;169;27/04/2022;3;11,1
3;17;402;Experimental;44;Moddus;B1;169;27/04/2022;4;11
3;17;402;Experimental;44;Suiker;B1;170;27/04/2022;1;13,8
3;17;402;Experimental;44;Suiker;B1;170;27/04/2022;2;11,1
3;17;402;Experimental;44;Suiker;B1;170;27/04/2022;3;12,9
3;17;402;Experimental;44;Suiker;B1;170;27/04/2022;4;10
3;17;402;Experimental;44;Effectus + Curavial;B1;171;27/04/2022;1;11,5
3;17;402;Experimental;44;Effectus + Curavial;B1;171;27/04/2022;2;14,6
3;17;402;Experimental;44;Effectus + Curavial;B1;171;27/04/2022;3;12,5
3;17;402;Experimental;44;Effectus + Curavial;B1;171;27/04/2022;4;10,1
3;17;402;Experimental;44;Curavial 18;B1;172;27/04/2022;1;12,6
3;17;402;Experimental;44;Curavial 18;B1;172;27/04/2022;2;13,2
3;17;402;Experimental;44;Curavial 18;B1;172;27/04/2022;3;12,4
3;17;402;Experimental;44;Curavial 18;B1;172;27/04/2022;4;5,6
